Sample,Mode,Dice,IoU,PixelAccuracy
0,Single,0.19541471623012066,0.18196927289522352,0.926513671875
0,Ensemble,0.21679183957195333,0.19451734836955623,0.9232177734375
0,FGSM_Single,0.11814523436804611,0.08829326870312082,0.49658203125
0,PGD_Single,0.06561617521788736,0.04600964978463599,0.221435546875
0,FGSM_Ensemble,0.1452729444965447,0.11393761531476602,0.697021484375
0,PGD_Ensemble,0.13823610606014286,0.11051129988465778,0.69482421875
1,Single,0.18897322709386916,0.15727453010962575,0.833984375
1,Ensemble,0.17250743514175815,0.14704415818900385,0.8270263671875
1,FGSM_Single,0.11384941134098166,0.08283528286663548,0.444580078125
1,PGD_Single,0.058832702576261324,0.04047153223031449,0.1783447265625
1,FGSM_Ensemble,0.12889104011789118,0.10289786636102267,0.6820068359375
1,PGD_Ensemble,0.11741001681865366,0.0870731523551458,0.602783203125
2,Single,0.20918899848840974,0.180672150071604,0.82275390625
2,Ensemble,0.2138626515104692,0.18739480193504215,0.84814453125
2,FGSM_Single,0.11454947559898433,0.08373351362199417,0.3934326171875
2,PGD_Single,0.03982301295466836,0.02308719001674777,0.1341552734375
2,FGSM_Ensemble,0.14164814356996042,0.11087108133612826,0.6051025390625
2,PGD_Ensemble,0.1596220871258843,0.12540417527688,0.633544921875
3,Single,0.21858192245653194,0.19357187034590256,0.8958740234375
3,Ensemble,0.2216415389392441,0.1976964632003418,0.914794921875
3,FGSM_Single,0.11318116825496814,0.08526187537159953,0.3670654296875
3,PGD_Single,0.05270278723002201,0.039140611596944805,0.091796875
3,FGSM_Ensemble,0.15977680210116357,0.1329030702355633,0.671630859375
3,PGD_Ensemble,0.13931018144235724,0.10845772249957389,0.5809326171875
4,Single,0.20775093694537652,0.1813966202871684,0.9119873046875
4,Ensemble,0.20853945062744997,0.18443977587368604,0.916259765625
4,FGSM_Single,0.10907900181729803,0.07860969652568488,0.382080078125
4,PGD_Single,0.044861706260455124,0.026618152507016084,0.1507568359375
4,FGSM_Ensemble,0.1440891519949188,0.11670161508187767,0.7254638671875
4,PGD_Ensemble,0.14452556885942994,0.1104776487743324,0.6143798828125
5,Single,0.19587872724197247,0.16242609997278099,0.82958984375
5,Ensemble,0.2303570478493188,0.19099587912303773,0.850830078125
5,FGSM_Single,0.10331145794359947,0.07346767023920009,0.388671875
5,PGD_Single,0.02840884025974856,0.016883196070331924,0.1025390625
5,FGSM_Ensemble,0.13202004808233853,0.10580680767430212,0.65380859375
5,PGD_Ensemble,0.1576657883943391,0.12047924015802183,0.643310546875
6,Single,0.2014428198748627,0.18395996600091677,0.8978271484375
6,Ensemble,0.20679079786750942,0.18852004063707026,0.9002685546875
6,FGSM_Single,0.11002994378572073,0.08198611697101243,0.3919677734375
6,PGD_Single,0.057730964529484896,0.04375099698582829,0.2177734375
6,FGSM_Ensemble,0.1569560984040663,0.12675039897225254,0.704833984375
6,PGD_Ensemble,0.1389209677290768,0.11027615164675343,0.64501953125
7,Single,0.2269647796656154,0.19453601001706153,0.872314453125
7,Ensemble,0.23053934023289557,0.20413281173823133,0.9232177734375
7,FGSM_Single,0.09569072205828989,0.0669712959863792,0.369384765625
7,PGD_Single,0.047428128171512644,0.030058406033602887,0.237060546875
7,FGSM_Ensemble,0.18740249982124776,0.15067845334323204,0.759521484375
7,PGD_Ensemble,0.1948555721774768,0.15985473210969303,0.782958984375
8,Single,0.20097299166967078,0.17836530229733996,0.9119873046875
8,Ensemble,0.20176670039898167,0.1775846891559552,0.910400390625
8,FGSM_Single,0.0920796111428199,0.06880646332467476,0.34326171875
8,PGD_Single,0.07027338336380066,0.05324514120635662,0.26953125
8,FGSM_Ensemble,0.13973195728348894,0.10916929970055748,0.7266845703125
8,PGD_Ensemble,0.15018873625800644,0.12121630069936344,0.7489013671875
9,Single,0.19679389768998715,0.17170985945072265,0.8438720703125
9,Ensemble,0.20527651468758612,0.17917700624297328,0.868408203125
9,FGSM_Single,0.09264752479550899,0.07050233324301815,0.35498046875
9,PGD_Single,0.059453051421783094,0.04576054516764796,0.18505859375
9,FGSM_Ensemble,0.1320433117691717,0.10768795919731866,0.63525390625
9,PGD_Ensemble,0.1457612248795112,0.11342008216714376,0.6502685546875
10,Single,0.1407045134178312,0.11924956622118303,0.834228515625
10,Ensemble,0.13881846680695564,0.11986888029227478,0.8621826171875
10,FGSM_Single,0.06835521251583208,0.045438949548351384,0.4554443359375
10,PGD_Single,0.053073962363113465,0.03184253619347737,0.3016357421875
10,FGSM_Ensemble,0.10199503017552536,0.0810306293759361,0.69580078125
10,PGD_Ensemble,0.10699243727941446,0.07959298970055848,0.6904296875
11,Single,0.17981272203076062,0.14684230268156465,0.8109130859375
11,Ensemble,0.18127986608621446,0.15713817907609356,0.8651123046875
11,FGSM_Single,0.08280531944240291,0.055543038219338335,0.3170166015625
11,PGD_Single,0.050129101339998094,0.03323678582164545,0.107666015625
11,FGSM_Ensemble,0.12490807302377682,0.09494052123424208,0.59912109375
11,PGD_Ensemble,0.11568805624187405,0.08617340983703617,0.5926513671875
12,Single,0.1921590268704079,0.1632062275451202,0.83984375
12,Ensemble,0.19338526044486684,0.16327665501740504,0.821044921875
12,FGSM_Single,0.10552353822931848,0.07613509796682635,0.387939453125
12,PGD_Single,0.046470276957857014,0.027515244040372616,0.11376953125
12,FGSM_Ensemble,0.13533624115693269,0.10644885290771446,0.565185546875
12,PGD_Ensemble,0.14496843356091768,0.10921614233838073,0.5169677734375
13,Single,0.2292521714169648,0.1940424398580284,0.928466796875
13,Ensemble,0.2183259980234186,0.18473783087591927,0.923828125
13,FGSM_Single,0.08654356823816617,0.06064537102516126,0.40478515625
13,PGD_Single,0.030160136354056195,0.018625336800663837,0.1741943359375
13,FGSM_Ensemble,0.12886131222757502,0.09795178175431782,0.648193359375
13,PGD_Ensemble,0.150601877493005,0.11360780101268311,0.6805419921875
14,Single,0.21387954832411996,0.18722520314713947,0.9146728515625
14,Ensemble,0.20959141610670337,0.1820451412686454,0.9068603515625
14,FGSM_Single,0.10538637592437086,0.07441229334497274,0.3682861328125
14,PGD_Single,0.054134062035784435,0.035025233352359166,0.1309814453125
14,FGSM_Ensemble,0.15703336712366936,0.12421268199051905,0.7039794921875
14,PGD_Ensemble,0.1556068942507248,0.11628199442111847,0.649658203125
15,Single,0.2029353685419742,0.16804459841719918,0.7783203125
15,Ensemble,0.20070113445502294,0.1697769180428916,0.792724609375
15,FGSM_Single,0.09946231368900924,0.07268351513886233,0.3863525390625
15,PGD_Single,0.05860740914197512,0.0401936007118867,0.1671142578125
15,FGSM_Ensemble,0.1434477793100401,0.11284823557732815,0.6083984375
15,PGD_Ensemble,0.13869529397932134,0.1040146426144483,0.5604248046875
16,Single,0.17343238203743058,0.1455007580868602,0.836181640625
16,Ensemble,0.20583584649453285,0.17720968843309184,0.898681640625
16,FGSM_Single,0.08403395269390034,0.05926656542613116,0.3695068359375
16,PGD_Single,0.04770354697540019,0.03178852069128411,0.17138671875
16,FGSM_Ensemble,0.10984558638200745,0.08331732866410434,0.5947265625
16,PGD_Ensemble,0.1219872574619495,0.09395767614287086,0.6314697265625
17,Single,0.1714859239193067,0.15348646348963269,0.800048828125
17,Ensemble,0.17529947118970987,0.1561271130052409,0.8284912109375
17,FGSM_Single,0.09649719341570995,0.07159864363971712,0.376708984375
17,PGD_Single,0.03809305573878796,0.024014925965069208,0.1842041015625
